b4031;xylE;XylE;(XylR)
b3189;murA;MurA;
b4032;malG;MalG;((MalT AND Crp) OR MalT)
b4033;malF;MalF;((MalT AND Crp) OR MalT)
b4034;malE;MalE;((MalT AND Crp) OR MalT)
b2818;argA;ArgA;(NOT ArgR)
b2429;yfeV;YfeV;
b3599;mtlA;MtlA;(NOT (MtlR))
b2421;cysM;CysM;(CysB)
b4025;pgi;Pgi;
b2423;cysW;CysW;(CysB)
b4024;lysC;LysC;(NOT lys-L(e)>0)
b2422;cysA;CysA;(CysB)
b2425;cysP;CysP;(CysB)
b2424;cysU;CysU;(CysB)
b2827;thyA;ThyA;
b3389;aroB;AroB;
b3386;rpe;Rpe;
b2418;pdxK;PdxK;
b2417;crr;Crr;(ON)
b2416;ptsI;PtsI;(ON)
b2415;ptsH;PtsH;(ON)
b3390;aroK;AroK;
b3588;aldB;AldB;(RpoS AND (Crp))
b4019;metH;MetH;(MetR)
b4018;iclR;IclR;( FadR )
b2414;cysK;CysK;(CysB)
b4015;aceA;AceA;(NOT (IclR) AND (NOT (ArcA) OR NOT (Cra)))
b2413;cysZ;CysZ;(CysB)
b4014;aceB;AceB;(NOT (IclR) AND (NOT (ArcA) OR NOT (Cra)))
b4013;metA;MetA;(NOT (MetJ) OR MetR)
b2411;lig;Lig;
b2687;luxS;LuxS;
b2688;gshA;GshA;
b4053;alr;Alr;
b4054;tyrB;TyrB;(NOT( ( (phe-L(e)>0) OR (tyr-L(e)>0) ) AND TyrR ))
b3581;sgbH;SgbH;(NOT YiaJ)
b3583;sgbE;SgbE;(NOT YiaJ)
b3691;dgoT;DgoT;(galctn-D(e)>0)
b3693;dgoK;DgoK;(galctn-D(e)>0)
b3692;dgoA;DgoA;(galctn-D(e)>0)
b3579;yiaO;YiaO;(Crp OR YiaJ)
b3385;gph;Gph;
b2405;xapR;XapR;(xtsn(e)>0)
b3574;yiaJ;YiaJ;(NOT (fuc-L(e)>0))
b3575;yiaK;YiaK;((NOT YiaJ) AND Crp)
b2407;xapA;XapA;(XapR)
b3380;yhfW;YhfW;
b2406;xapB;XapB;(XapR)
b2690;yqaB;YqaB;
b2400;gltX;GltX;
b3176;mrsA;MrsA;
b3172;argG;ArgG;
b4040;ubiA;UbiA;((NOT Fnr) AND Crp)
b2677;proV;ProV;
b4041;plsB;PlsB;
b2678;proW;ProW;
b2675;nrdE;NrdE;
b2676;nrdF;NrdF;
b2805;fucR;FucR;(fuc-L(e)>0) 
b2802;fucI;FucI;((FucR AND Crp) OR FucR)
b2803;fucK;FucK;((FucR AND Crp) OR FucR)
b4042;dgkA;DgkA;
b2800;fucA;FucA;((FucR AND Crp) OR FucR)
b2801;fucP;FucP;((FucR AND Crp) OR FucR)
b3177;folP;FolP;
b3572;avtA;AvtA;(NOT (ala-L(e)>0 OR leu-L(e)>0 ))
b3368;cysG;CysG;(Fnr OR NarL)
b3367;nirC;NirC;(Fnr AND NarL)
b3366;nirD;NirD;(Fnr AND NarL)
b2679;proX;ProX;
b3365;nirB;NirB;(Fnr AND NarL)
b3568;xylH;XylH;((XylR AND Crp) OR XylR)
b3569;xylR;XylR;(xyl-D(e)>0)
b3566;xylF;XylF;((XylR AND Crp) OR XylR)
b3567;xylG;XylG;((XylR AND Crp) OR XylR)
b3564;xylB;XylB;((XylR AND Crp) OR XylR)
b3565;xylA;XylA;((XylR AND Crp) OR XylR)
b3187;ispB;IspB;
b4036;lamB;LamB;((MalT AND Crp) OR MalT)
b4035;malK;MalK;((MalT AND Crp) OR MalT)
b4039;ubiC;UbiC;((NOT Fnr) AND Crp)
b2808;gcvA;GcvA;(NOT GcvR)
b3357;crp;Crp;( (NOT( (glcn(e)>0) OR (glc-D(e)>0))) )
b3359;argD;ArgD;(NOT ArgR)
b2661;gabD;GabD;
b2663;gabP;GabP;
b4077;gltP;GltP;
b2662;gabT;GabT;
b2472;dapE;DapE;
b2463;maeB;MaeB;
b2464;talA;TalA;
b2465;tktB;TktB;
b4069;acs;Acs;(RpoS OR Fnr OR ((NOT IclR) AND ((NOT( (glcn(e)>0) OR (glc-D(e)>0) OR (arab-L(e)>0) OR (xyl-D(e)>0) OR (rib-D(e)>0) OR (mal-L(e)>0) OR (glyc(e)>0) OR (sbt-D(e)>0) OR (lac-D(e)>0) OR (man(e)>0) OR (succ(e)>0))))))
b3360;pabA;PabA;
b4063;soxR;SoxR;((h2o2(e)>0) OR (OxidativeStress))
b4062;soxS;SoxS;(SoxR)
b2458;eutD;EutD;
b2097;fbaB;FbaB;((pyr(e)>0) OR (lac-D(e)>0) AND NOT( glc-D(e)>0))
b2096;gatY;GatY;(NOT (GatR))
b2095;gatZ;GatZ;(NOT (GatR))
b4090;rpiB;RpiB;(NOT( RpiR))
b2094;gatA;GatA;(NOT (GatR))
b2093;gatB;GatB;(NOT (GatR))
b2092;gatC;GatC;(NOT (GatR))
b2091;gatD;GatD;(NOT (GatR))
b2090;gatR_2;GatR_2;(NOT (galt(e)>0))
b2838;lysA;LysA;(LysR AND NOT lys-L(e)>0) 
b2837;galR;GalR;( NOT ( lcts(e)>0 ) OR NOT (gal(e)>0) )
b2839;lysR;LysR;(NOT (lys-L(e)>0))
b2836;aas;Aas;
b2440;eutC;EutC;
b2441;eutB;EutB;
b1584;speG;SpeG;
b2087;gatR_1;GatR_1;(NOT (galt(e)>0))
b2841;araE;AraE;(Crp)
b4089;rpiR;RpiR;( NOT ( rib-D(e)>0 ) )
b2436;hemF;HemF;
b4079;fdhF;FdhF;(FhlA AND RpoN AND (NOT (o2(e)>0)))
b1594;mlc;Mlc;( NOT ( glc-D(e)>0 ) )
b2066;udk;Udk;(NOT ((thym(e)>0) OR (csn(e)>0) OR (ura(e)>0)))
b1767;ansA;AnsA;
b1768;pncA;PncA;
b1380;ldhA;LdhA;
b2264;menD;MenD;
b0733;cydA;CydA;((NOT Fnr) OR (ArcA))
b2265;menF;MenF;
b1761;gdhA;GdhA;(NOT ((Nac) OR (glu-L(e)>0)) ) 
b0734;cydB;CydB;((NOT Fnr) OR (ArcA))
b1764;selD;SelD;
b2262;menB;MenB;
b2261;menC;MenC;
b2260;menE;MenE;
b1363;trkG;TrkG;
b3112;tdcGb;TdcGb;(Crp OR NOT( o2(e)>0))
b1779;gapA;GapA;
b3111;tdcGa;TdcGa;(Crp OR NOT( o2(e)>0))
b3114;tdcE;TdcE;(Crp OR Fnr OR LysR OR TdcA OR NOT TdcR)
b3116;tdcC;TdcC;(Crp OR Fnr OR LysR OR TdcA OR NOT TdcR)
b3115;tdcD;TdcD;(Crp OR Fnr OR LysR OR TdcA OR NOT TdcR)
b3118;tdcA;TdcA;((thr-L(e)>0) AND (ser-L(e)>0) AND (val-L(e)>0) AND (ile-L(e)>0) AND NOT (o2(e)>0))
b3117;tdcB;TdcB;(Crp OR Fnr OR LysR OR TdcA OR NOT TdcR)
b3119;tdcR;TdcR;((thr-L(e)>0) AND (ser-L(e)>0) AND (val-L(e)>0) AND (ile-L(e)>0) AND NOT (o2(e)>0))
b2615;yfjB;YfjB;
b2065;dcd;Dcd;
b1773;b1773;B1773;
b2049;manC;ManC;
b2048;cpsG;CpsG;
b2045;wcaK;WcaK;
b0750;nadA;NadA;
b2600;tyrA;TyrA;( NOT( ( (phe-L(e)>10) OR (tyr-L(e)>0) ) AND TyrR ))
b1748;astC;AstC;((NOT( Growth>0) AND RpoS) OR (NRI_hi AND RpoN)) 
b0751;pnuC;PnuC;
b2601;aroF;AroF;( NOT( ( (phe-L(e)>10) OR (tyr-L(e)>0) ) AND TyrR ))
b1745;astB;AstB;((NOT( Growth>0) AND RpoS) OR (NRI_hi AND RpoN)) 
b1744;astE;AstE;((NOT( Growth>0) AND RpoS) OR (NRI_hi AND RpoN)) 
